id,question,type,anwser ,time_seconds
1,"According to Decree No. 06/2022/ND-CP, what is the minimum emission threshold (in tons of CO2 equivalent per year) above which textile manufacturing facilities are required to conduct greenhouse gas inventories?",fact-based,"Under Decree No. 06/2022/ND-CP, textile manufacturing facilities (and other facilities) are required to conduct a greenhouse gas inventory if their **annual greenhouse gas emissions are 3,000 tons of CO₂ equivalent or more per year.",7.8
2,"According to the 2020 Law on Environmental Protection, how often must greenhouse gas inventories be conducted?",fact-based,"Under the 2020 Law on Environmental Protection (Law No. 72/2020/QH14), greenhouse gas inventories **must be conducted periodically every two years by facilities required to do so. These facilities are responsible for organizing the inventory and submitting the results every two years to the Ministry of Natural Resources and Environment.",14.7
3,Decision No. 232/QD-TTg approved the development of Vietnam’s carbon market. In which year is the market expected to become fully operational?,fact-based,"According to Decision No. 232/QD-TTg, Vietnam’s carbon market is expected to become fully operational in 2029.",5.1
4,"According to Decision No. 01/2022/QD-TTg, 294 textile and footwear enterprises are required to report greenhouse gas emissions. If Vietnam’s textile industry has approximately 6,000 enterprises (per VITAS), what percentage of firms are subject to mandatory reporting? What does this figure imply about the scale of policy impact?",impact-based,"Percentage subject to mandatory reporting:
6,000/294 ×100≈4.9% (about 5% of firms).

Implication:
The policy affects a small share of enterprises, indicating it is targeted at larger or higher-emitting firms, rather than the entire textile and footwear industry. This suggests a focused, high-impact approach rather than broad-based regulation across all companies.",8.3
5,"Under Decree No. 06/2022/ND-CP, enterprises must conduct greenhouse gas inventories every two years. If a textile firm operates for the next 20 years (2025–2045), how many inventories must it conduct? If each inventory requires approximately 1–2 weeks of dedicated staff time, what is the total time burden?",impact-based,"Number of inventories:
Greenhouse gas inventories are conducted every 2 years.
From 2025 to 2045 is 20 years, so:

20÷2=10 inventories.

Total time burden:
Each inventory takes 1–2 weeks of dedicated staff time.
Over 10 inventories, the total time burden is:

Minimum: 10 × 1 = 10 weeks

Conclusion:
A textile firm operating from 2025–2045 would conduct 10 greenhouse gas inventories, requiring a cumulative 10–20 weeks of staff time over the period.",6.9
6,"Decree No. 06/2022/ND-CP requires 294 textile firms to submit inventory reports by March 2025 and comply with emission quotas from 2026. However, many SMEs report resource constraints. Should Vietnam prioritize: (A) Supporting enterprises to comply on schedule, or (B) Negotiating an extension to 2027–2028?",debate-based,"Recommended priority: (A) Supporting enterprises to comply on schedule.

Rationale (concise):

Policy credibility & market readiness: Staying on schedule supports Vietnam’s carbon market roadmap and avoids undermining regulatory certainty.

Targeted impact: The 294 firms are mainly larger, higher-emitting entities; focused support yields higher emissions reductions per đồng spent.

Lower long-term costs: Early capacity-building (standardized MRV tools, sectoral emission factors, templates, training, pooled consultants) reduces future compliance costs and errors.

International alignment: On-time compliance strengthens investor confidence and access to climate finance.

Practical mitigation for SME constraints (without delaying):

Phase-in quotas (soft caps/learning period in 2026), while keeping inventory deadlines.

Provide technical assistance, subsidies/vouchers for first inventories, and simplified MRV for SMEs.

When (B) might be justified:
Only if support mechanisms are demonstrably insufficient and risk widespread non-compliance—then a narrow, conditional extension for SMEs (not blanket) could be considered.

Bottom line: Prioritize supporting on-schedule compliance, with targeted relief measures, rather than a broad extension.",12.9
7,In which year does the EU’s Carbon Border Adjustment Mechanism (CBAM) officially impose carbon charges? When does the transitional reporting period begin and end?,fact-based,"Year carbon charges are officially imposed: The EU’s Carbon Border Adjustment Mechanism (CBAM) begins imposing carbon-related charges (requiring importers to buy and surrender CBAM certificates) on 1 January 2026.

Transitional reporting period: The CBAM’s transitional reporting period runs from 1 October 2023 until 31 December 2025, during which importers report embedded emissions without paying carbon charges.

Summary:

Transitional phase (reporting only): Oct 1, 2023 – Dec 31, 2025.

Financial carbon charges begin: Jan 1, 2026.",6.7
8,"Under CBAM, are textile products exported to the EU subject to direct carbon charges from 2026? If not, which indirect mechanisms could affect the textile industry?",fact-based,"No — textile products exported to the EU are not subject to direct carbon charges under the EU’s Carbon Border Adjustment Mechanism (CBAM) when it starts in 2026. CBAM currently applies only to a limited set of carbon-intensive goods such as cement, iron and steel, aluminium, fertilisers, electricity, and hydrogen (and certain related upstream/downstream items), and textiles are not on that list under the scheme’s initial cover.

Indirect mechanisms that could still affect the textile industry:

Upstream cost pass-through: CBAM increases the cost of CBAM-covered inputs (e.g., steel for machinery, aluminium for equipment), which can raise production and logistics costs for textile manufacturers relying on such inputs.

Supply chain pricing and demand shifts: Firms exporting textiles may face pressure from EU buyers to decarbonize or provide carbon footprint data, even if CBAM doesn’t directly apply, as part of broader ESG and procurement standards. (General market practice and CBAM incentives.)

Future scope expansion: The EU is considering expanding CBAM to cover additional sectors and downstream products (potentially including more complex goods) by around 2030, which could eventually include materials relevant to textiles if tied to embedded emissions.

Summary:

Direct CBAM carbon charges in 2026: No for textiles.

Indirect impacts: through increased costs on carbon-intensive inputs, supply chain expectations, and potential future scope expansion.",8.0
9,"A Vietnamese textile firm exports 10,000 tons of goods per year to the EU with an emission intensity of 2.5 tons of CO2 per ton of product. If the EU carbon price is EUR 80 per ton, how much carbon tax would the firm pay annually if CBAM were extended to textiles? If the exchange rate is 1 EUR = 27,000 VND, what is the equivalent amount in VND?",impact-based,"Annual emissions embedded in exports:

10,000 tons×2.5 tCO₂/ton=25,000 tCO₂

Annual carbon tax (at EUR 80/tCO₂):

25,000×80=EUR 2,000,000

Equivalent amount in VND (1 EUR = 27,000 VND):

2,000,000×27,000=54,000,000,000 VND

Answer:

Carbon tax: EUR 2.0 million per year

Equivalent: ≈ 54 billion VND per year",10.1
10,"CBAM allows deductions for carbon taxes already paid in the exporting country. Given that Vietnam does not yet have a carbon tax, what competitive disadvantages might Vietnamese firms face compared to countries with carbon pricing (e.g., China’s pilot ETS)?",impact-based,"Because Vietnam does not yet have a carbon tax or nationwide carbon pricing, Vietnamese firms cannot claim CBAM deductions. Compared with exporters from countries with carbon pricing (e.g., China’s ETS pilots), they may face several competitive disadvantages:

Higher effective CBAM cost:
Firms in carbon-priced countries can deduct domestic carbon costs from CBAM liabilities; Vietnamese firms must pay the full EU carbon price.

Price competitiveness loss:
Higher landed costs in the EU reduce margins or force higher export prices, weakening competitiveness versus rivals with deductible carbon costs.

Weaker investment and buyer perception:
EU buyers and investors may favor suppliers from carbon-priced jurisdictions viewed as more aligned with EU climate policy and lower transition risk.

No early decarbonization incentive:
Without a domestic price signal, firms may lag in emissions reduction and MRV capacity, increasing future compliance costs if CBAM expands or tightens.

Bottom line:
Lack of domestic carbon pricing leaves Vietnamese exporters exposed to higher net CBAM costs, creating a structural disadvantage relative to firms in countries with recognized carbon pricing systems.",11.5
